Date/Time,BLOCK TESTBLOCK STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK TESTBLOCK STOREY 1:Zone Mean Air Temperature [C](Hourly) 
 01/07  15:00:00,19.470015055394535,16.862353610637997 
 01/07  16:00:00,19.77891803781212,17.357562508467305 
 01/07  17:00:00,19.151489003917037,16.895741911612065 
 01/07  18:00:00,17.53651096469908,15.466139749708619 
 01/07  19:00:00,16.75704048061898,14.864342507315153 
 01/07  20:00:00,16.296671931680856,14.485314739463906 
 01/07  21:00:00,15.653048146980935,13.903882205999537 
 01/07  22:00:00,15.397939896008449,13.668144429929856 
 01/07  23:00:00,15.24029224740958,13.508449135966333 
 01/07  24:00:00,15.093868407322198,13.3372883575551 
 01/08  01:00:00,14.920999282707859,13.125815628067779 
 01/08  02:00:00,14.78173272459681,12.923841361353086 
 01/08  03:00:00,14.755104313329534,12.808916830127452 
 01/08  04:00:00,14.580083325978702,12.545592658654979 
 01/08  05:00:00,14.36782396663124,12.249077073748718 
 01/08  06:00:00,14.222617691762335,12.01381322517351 
 01/08  07:00:00,14.131077955768117,11.825237439338189 
 01/08  08:00:00,14.062688230211978,11.655761852441009 
 01/08  09:00:00,14.635449009300422,12.163378810488027 
 01/08  10:00:00,16.174377831751469,13.647773469883063 
 01/08  11:00:00,17.851254106194579,15.218867222861958 
 01/08  12:00:00,18.149348002156914,15.410900589033352 
 01/08  13:00:00,18.87539199057746,16.300597889565155 
 01/08  14:00:00,19.45904781196035,16.99183507870246 
 01/08  15:00:00,18.331313531124697,15.863344534025325 
 01/08  16:00:00,18.932174153166146,16.712157180933035 
 01/08  17:00:00,19.00994674091654,16.95723421724554 
 01/08  18:00:00,17.673220878498996,15.723060787095303 
 01/08  19:00:00,16.886191059225327,15.11950446290013 
 01/08  20:00:00,16.449242609469065,14.771270897019307 
 01/08  21:00:00,16.002230149037059,14.37166195763383 
 01/08  22:00:00,15.682101107960511,14.058062492577385 
 01/08  23:00:00,15.365897773301797,13.7261809178806 
 01/08  24:00:00,15.132971169972972,13.456759197597418 
 01/09  01:00:00,14.917767135143384,13.19628794625143 
 01/09  02:00:00,14.73856564027713,12.964492944527607 
 01/09  03:00:00,14.02175194193373,12.278088825071226 
 01/09  04:00:00,14.126996532108749,12.226344629188791 
 01/09  05:00:00,14.19910131799237,12.170283827126026 
 01/09  06:00:00,13.452103365505084,11.463875494574986 
 01/09  07:00:00,13.535443676820817,11.389299140806866 
 01/09  08:00:00,13.608118683526645,11.26493363988008 
 01/09  09:00:00,13.618857756373649,11.146054252651244 
 01/09  10:00:00,15.232245250557968,12.686650608930166 
 01/09  11:00:00,16.61808223521703,14.035792530823557 
 01/09  12:00:00,16.74908264494058,14.060360100846657 
 01/09  13:00:00,17.399543294337524,14.789913262797866 
 01/09  14:00:00,18.030267394402839,15.451249287299362 
 01/09  15:00:00,18.626780157360046,16.142814388029629 
 01/09  16:00:00,18.935405026150798,16.494788385227709 
 01/09  17:00:00,18.10327829384274,15.810444515555379 
 01/09  18:00:00,16.429453019434214,14.232057044031493 
 01/09  19:00:00,15.615999864590667,13.471560730596556 
 01/09  20:00:00,15.051023859617719,12.915146052507957 
 01/09  21:00:00,14.630045284430011,12.476740418682074 
 01/09  22:00:00,14.175109425744548,11.962811919778283 
 01/09  23:00:00,13.881671096204972,11.602533565938508 
 01/09  24:00:00,13.516755767150349,11.148850800817947 
 01/10  01:00:00,13.268039563310806,10.802280367382668 
 01/10  02:00:00,12.99473454157365,10.416614208893393 
 01/10  03:00:00,12.676894632046864,9.970240718983844 
 01/10  04:00:00,12.495496443718399,9.643719503068017 
 01/10  05:00:00,12.324190545659775,9.320675526210316 
 01/10  06:00:00,12.088278740116309,8.93067338262605 
 01/10  07:00:00,11.968888668358149,8.64915518962444 
 01/10  08:00:00,11.857000441520987,8.368545215621636 
 01/10  09:00:00,12.45576280121151,8.863465925106146 
 01/10  10:00:00,14.102021250627426,10.371678075753924 
 01/10  11:00:00,15.28736796785551,11.534899349825187 
 01/10  12:00:00,15.577029593634393,11.761901065692705 
 01/10  13:00:00,16.329984966473103,12.514770140433562 
 01/10  14:00:00,16.702473408550646,12.94263723227958 
 01/10  15:00:00,17.329105415905596,13.656969859462386 
 01/10  16:00:00,17.6843742733296,14.051842619285253 
 01/10  17:00:00,16.795133891569586,13.337828059257403 
 01/10  18:00:00,15.077069138362023,11.704944027896769 
 01/10  19:00:00,14.139052667051523,10.845570028805137 
 01/10  20:00:00,13.491367358440233,10.234320280068987 
 01/10  21:00:00,13.002748579022093,9.740542418696775 
 01/10  22:00:00,12.497336536578662,9.183060187976018 
 01/10  23:00:00,12.18110559866771,8.784299650927693 
 01/10  24:00:00,11.864640336692425,8.360450953947805 
 01/11  01:00:00,11.610395683541992,7.985032154116163 
 01/11  02:00:00,11.377299130216234,7.6140852443892659 
 01/11  03:00:00,11.147935276335947,7.236784638329517 
 01/11  04:00:00,10.913790640157228,6.851233992016933 
 01/11  05:00:00,10.68098823499085,6.461504345163648 
 01/11  06:00:00,10.468638947732268,6.086565605548859 
 01/11  07:00:00,10.317984505757988,5.76745252462273 
 01/11  08:00:00,10.170641650233474,5.451295768138364 
 01/11  09:00:00,10.89806031333994,6.050190300234469 
 01/11  10:00:00,12.719474734722898,7.665143450771918 
 01/11  11:00:00,14.16838908909208,9.085997004285006 
 01/11  12:00:00,14.959181733123917,9.82166254864184 
 01/11  13:00:00,15.638428422793757,10.495834090023664 
 01/11  14:00:00,15.960953238283962,10.93376370031481 
 01/11  15:00:00,16.5869159051769,11.675170351420647 
 01/11  16:00:00,16.94581324454232,12.112486494508169 
 01/11  17:00:00,16.20654258408024,11.580404959214237 
 01/11  18:00:00,14.484172137353486,10.06260042806915 
 01/11  19:00:00,13.642186318363818,9.378846397881487 
 01/11  20:00:00,13.090100123967137,8.941698795863319 
 01/11  21:00:00,12.768477199985395,8.67037401245762 
 01/11  22:00:00,12.493559383680678,8.415394787582697 
 01/11  23:00:00,12.312336431148168,8.208685360224952 
 01/11  24:00:00,12.31896483220914,8.142809184475518 
 01/12  01:00:00,12.193528485591332,7.931792299581306 
 01/12  02:00:00,12.065827498288808,7.714549215485757 
 01/12  03:00:00,12.069222950228922,7.6157062617709079 
 01/12  04:00:00,11.8971772825965,7.366919172968931 
 01/12  05:00:00,11.681554828184999,7.098225632955463 
 01/12  06:00:00,11.56123310682655,6.917304139664354 
 01/12  07:00:00,11.321841591218718,6.6357144296668 
 01/12  08:00:00,11.064278193532266,6.346553342015113 
 01/12  09:00:00,11.541026084206952,6.818585020197123 
 01/12  10:00:00,13.16111536436751,8.312524615695537 
 01/12  11:00:00,14.374594900658796,9.649751372464486 
 01/12  12:00:00,14.97412893630273,10.278503924096802 
 01/12  13:00:00,15.649606418193056,11.003241864572474 
 01/12  14:00:00,15.858672932109848,11.33787712495037 
 01/12  15:00:00,16.43290833059301,12.062641454772122 
 01/12  16:00:00,16.815244045828263,12.503118807838977 
 01/12  17:00:00,16.055520235268707,11.908481311652868 
 01/12  18:00:00,14.308251633494399,10.312193661606689 
 01/12  19:00:00,13.407242929803357,9.517316141067248 
 01/12  20:00:00,12.786303591302078,8.970102947915683 
 01/12  21:00:00,12.346989392118463,8.551965345748606 
 01/12  22:00:00,11.889425945306236,8.071721131673885 
 01/12  23:00:00,11.615385945669349,7.737452444889025 
 01/12  24:00:00,11.344013430262026,7.380506260296373 
 01/13  01:00:00,11.106155957149387,7.043635110032525 
 01/13  02:00:00,10.89039214833154,6.721095691812328 
 01/13  03:00:00,10.677021264533482,6.384790993282477 
 01/13  04:00:00,10.47599658628091,6.048363944137738 
 01/13  05:00:00,10.29323962935074,5.716671244022269 
 01/13  06:00:00,10.126657525996297,5.40227923286062 
 01/13  07:00:00,9.992939004072899,5.122692834740946 
 01/13  08:00:00,9.873758604923582,4.856176507345345 
 01/13  09:00:00,10.005178327006832,4.84850763165844 
 01/13  10:00:00,11.735746517954614,6.453799398674869 
 01/13  11:00:00,13.177467007448243,7.831238628266661 
 01/13  12:00:00,13.658857406454568,8.357787980318248 
 01/13  13:00:00,14.493234286204661,9.177935963392976 
 01/13  14:00:00,14.856609998889337,9.660057193631289 
 01/13  15:00:00,15.582773849664346,10.502242995617595 
 01/13  16:00:00,15.94274442679789,10.948050974932344 
 01/13  17:00:00,15.182948591462683,10.399857179418455 
 01/13  18:00:00,13.39103707103843,8.810866065479754 
 01/13  19:00:00,12.454972161241729,8.005824517583065 
 01/13  20:00:00,11.763658662797049,7.411009862126177 
 01/13  21:00:00,11.115550599495123,6.802289606939347 
 01/13  22:00:00,10.877503396460284,6.54177291362248 
 01/13  23:00:00,10.545191952172133,6.1449107727075769 
 01/13  24:00:00,10.312943795194866,5.819270156921359 
 01/14  01:00:00,10.074937097801442,5.487040549974706 
 01/14  02:00:00,9.859828485603991,5.163114737674787 
 01/14  03:00:00,9.622112075816075,4.808493908379688 
