Date/Time,BLOCK TESTBLOCK STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK TESTBLOCK STOREY 1:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,10.107978355439546,5.335879760645611 
 01/01  02:00:00,9.728736265192822,4.913944689050158 
 01/01  03:00:00,9.518941820604825,4.6232847975044299 
 01/01  04:00:00,9.334822206737082,4.346298838201326 
 01/01  05:00:00,9.134322007425008,4.051882060126164 
 01/01  06:00:00,8.95218231837733,3.7655627554694766 
 01/01  07:00:00,8.865982477573736,3.546760526134612 
 01/01  08:00:00,8.805941640152567,3.3371175079544477 
 01/01  09:00:00,8.997927178866762,3.385228767447395 
 01/01  10:00:00,10.715382042846788,4.917653281999444 
 01/01  11:00:00,11.92068725592061,6.217593564453096 
 01/01  12:00:00,12.781517040824973,7.10907494747057 
 01/01  13:00:00,13.544631676545116,7.910917119569937 
 01/01  14:00:00,13.897286322523712,8.381212293377513 
 01/01  15:00:00,14.478573484203123,9.084467393929569 
 01/01  16:00:00,14.265095439184244,8.959841226156709 
 01/01  17:00:00,12.979338060326326,7.7611951063215109 
 01/01  18:00:00,12.238864738760274,7.11961547571852 
 01/01  19:00:00,11.855150552945908,6.829120499105933 
 01/01  20:00:00,11.357713652786402,6.477564419224995 
 01/01  21:00:00,11.084757380193322,6.266082195382989 
 01/01  22:00:00,10.913696211738472,6.116710297203024 
 01/01  23:00:00,10.760034272584714,5.964729678955699 
 01/01  24:00:00,10.600034368597964,5.787454610370954 
 01/02  01:00:00,10.483461726683054,5.624068445082003 
 01/02  02:00:00,10.391621067973551,5.469326286115395 
 01/02  03:00:00,10.305362113048468,5.312444082956822 
 01/02  04:00:00,10.27198575592923,5.17942816847884 
 01/02  05:00:00,10.263589617703131,5.067599175306484 
 01/02  06:00:00,10.27619870588227,4.978867651435506 
 01/02  07:00:00,10.244376208384713,4.886068101724426 
 01/02  08:00:00,10.22783623319643,4.823558019381421 
 01/02  09:00:00,10.248566025636638,4.804592325789086 
 01/02  10:00:00,10.38768246628808,4.899618405487641 
 01/02  11:00:00,10.631016921778456,5.107842637989967 
 01/02  12:00:00,10.884008615363534,5.343574177123048 
 01/02  13:00:00,11.24367821521371,5.692663962892569 
 01/02  14:00:00,11.740395804548993,6.2266929137149769 
 01/02  15:00:00,12.190787940332035,6.742485884416383 
 01/02  16:00:00,12.09115551139002,6.751613995345357 
 01/02  17:00:00,11.656688277604433,6.4000086275696159 
 01/02  18:00:00,11.319605679611075,6.150542686099843 
 01/02  19:00:00,11.194782500388435,6.105122823987639 
 01/02  20:00:00,11.165166268441969,6.14427345905233 
 01/02  21:00:00,11.136795659152615,6.170197702304072 
 01/02  22:00:00,11.093684007985962,6.175739689423112 
 01/02  23:00:00,11.044092315290385,6.171139169661523 
 01/02  24:00:00,11.01127257186531,6.176645066315951 
 01/03  01:00:00,10.754952239195085,5.983263726442459 
 01/03  02:00:00,10.41190556659137,5.666175844428295 
 01/03  03:00:00,9.98398221464632,5.240530791990807 
 01/03  04:00:00,9.693631875141428,4.937140295894679 
 01/03  05:00:00,9.393303789867162,4.620993214052984 
 01/03  06:00:00,9.088586472981288,4.284220576138841 
 01/03  07:00:00,8.83321373023214,3.9898821544713716 
 01/03  08:00:00,8.607104193254717,3.708774298123715 
 01/03  09:00:00,8.491272752286209,3.5300283927914335 
 01/03  10:00:00,9.36488852209216,4.368649736551378 
 01/03  11:00:00,10.438594842225538,5.408170618082759 
 01/03  12:00:00,11.155079396108747,6.13253413466158 
 01/03  13:00:00,11.795768463394138,6.736567995456318 
 01/03  14:00:00,11.944404365650888,6.894213715434334 
 01/03  15:00:00,11.829706416700706,6.806165400780546 
 01/03  16:00:00,11.553156335756933,6.515159477410351 
 01/03  17:00:00,10.772701664278474,5.688258227831428 
 01/03  18:00:00,10.008652727975786,4.892505471360824 
 01/03  19:00:00,9.68300986192115,4.518245315446721 
 01/03  20:00:00,9.321475710192403,4.077416872726486 
 01/03  21:00:00,9.13856411081435,3.7954444020467656 
 01/03  22:00:00,8.92992474842585,3.5066944260275458 
 01/03  23:00:00,8.733014171209938,3.2328321973719067 
 01/03  24:00:00,8.503013447347446,2.9022243244274414 
 01/04  01:00:00,8.329530506582485,2.6119123699661745 
 01/04  02:00:00,8.178771170281776,2.3321133562071245 
 01/04  03:00:00,8.031208048653662,2.053120095615227 
 01/04  04:00:00,7.870816724956028,1.7722473510975654 
 01/04  05:00:00,7.714278283654569,1.4979398671329328 
 01/04  06:00:00,7.5603038198383649,1.2253538385858609 
 01/04  07:00:00,7.457523559579739,0.9702945812162858 
 01/04  08:00:00,7.390227377277863,0.7352837297369702 
 01/04  09:00:00,7.587746934287322,0.7891365783464761 
 01/04  10:00:00,9.442839425860097,2.4012624535857789 
 01/04  11:00:00,10.76307959959194,3.890295976749683 
 01/04  12:00:00,11.522068946758937,4.7273213693561149 
 01/04  13:00:00,12.313022549025263,5.577153536685897 
 01/04  14:00:00,12.864496879495516,6.2691313687731509 
 01/04  15:00:00,13.467292293135529,7.010029823198895 
 01/04  16:00:00,13.601857690842625,7.2184010872978379 
 01/04  17:00:00,12.484590011730712,6.2976129438094079 
 01/04  18:00:00,11.379195268206065,5.3288611822053248 
 01/04  19:00:00,11.04852065878018,5.126884118072514 
 01/04  20:00:00,10.75768562429253,4.993440635697297 
 01/04  21:00:00,10.546478264065227,4.896455950053467 
 01/04  22:00:00,10.403049669926319,4.816275493197801 
 01/04  23:00:00,10.303895555185973,4.742428308519276 
 01/04  24:00:00,10.199622478424323,4.650699912047584 
 01/05  01:00:00,10.103838746319476,4.552873151501977 
 01/05  02:00:00,9.997582450102677,4.4364098341582489 
 01/05  03:00:00,9.917773487503228,4.337382698360852 
 01/05  04:00:00,9.821915852925145,4.218919501389751 
 01/05  05:00:00,9.745459261252125,4.110139692416833 
 01/05  06:00:00,9.684422674454752,4.013442937821064 
 01/05  07:00:00,9.644793746269619,3.945205865038018 
 01/05  08:00:00,9.607441148485412,3.8829940297719278 
 01/05  09:00:00,9.606505953135523,3.85828128832365 
 01/05  10:00:00,9.693718287893024,3.925696298667395 
 01/05  11:00:00,9.850811817184736,4.07064163539366 
 01/05  12:00:00,9.63878048852743,4.088278220348211 
 01/05  13:00:00,10.059619514478087,4.32736253039822 
 01/05  14:00:00,10.27773624458872,4.494029782635868 
 01/05  15:00:00,10.050300776163129,4.511151596005552 
 01/05  16:00:00,10.033962529301359,4.403952056350792 
 01/05  17:00:00,9.945485960925803,4.212652883105202 
 01/05  18:00:00,9.52864873813042,4.0773059510279989 
 01/05  19:00:00,9.567100486926654,3.9820649374914787 
 01/05  20:00:00,9.60537803342439,3.933506494195263 
 01/05  21:00:00,9.558841679159896,3.913344253934289 
 01/05  22:00:00,9.560359300764472,3.9196680029003199 
 01/05  23:00:00,9.604710065110514,3.938972902573197 
 01/05  24:00:00,9.649623544441259,3.953844779978733 
 01/06  01:00:00,9.591906375773015,3.8974595904544278 
 01/06  02:00:00,9.479895049669807,3.7983109695461625 
 01/06  03:00:00,9.373533774968209,3.6989240425932 
 01/06  04:00:00,9.32369285604165,3.6393473194403715 
 01/06  05:00:00,9.282334840647497,3.58636499726704 
 01/06  06:00:00,9.235633415947174,3.5275629537965385 
 01/06  07:00:00,9.181197939094572,3.4662378400517697 
 01/06  08:00:00,9.123307630783117,3.4019626672392349 
 01/06  09:00:00,9.098027669616041,3.37050146127673 
 01/06  10:00:00,9.369687541588333,3.6226774799153644 
 01/06  11:00:00,9.874792459320148,4.087804824026245 
 01/06  12:00:00,10.52908726260996,4.727666809870714 
 01/06  13:00:00,11.250562926154505,5.585113005310963 
 01/06  14:00:00,12.24015260360192,6.815910679552415 
 01/06  15:00:00,13.208658209775738,7.988270352263285 
 01/06  16:00:00,13.547926103427895,8.54159117490051 
 01/06  17:00:00,12.928897407761962,7.915459634536251 
 01/06  18:00:00,12.230978183352719,7.333560814095166 
 01/06  19:00:00,11.790033667648349,7.008884471779693 
